screen_events_sleep,sleep_quality,location_max_still_duration_day,accel_morning_movement_ratio,location_avg_speed_full_window,screen_total_duration_full_window
-0.5773502691896258,7,,,,
-0.5773502691896258,7,,,,
-0.5773502691896258,7,,,,
1.7320508075688774,6,,,,
,7,0.0130282792580615,,,
,7,-0.4755321929192475,,,
,7,-0.4755321929192475,,,
,6,-0.9640926650965568,,,
,8,1.90212877167699,,,
,7,,0.8215606553971759,0.3793270262145831,0.3613770386498224
,7,,0.1576315605065376,0.3527327122087174,0.2005059698315141
,7,,-0.1454909065646069,1.2203867873423253,0.585197656136164
,6,,-1.790607795402957,-1.7645168393726327,-2.002728233549662
,8,,1.3770386558473335,0.6514103208175359,-0.3170792081056511
,4,,-0.4201321697834834,-0.8393400072105285,1.172726777037811
,7,,,,
,7,,,,
,7,,,,
,6,,,,
,8,,,,
,4,,,,
,9,,,,
